cusomter_id,company_name,contact_name,contact_title,address,city,region,postal_code,country,phone,fax
Suzuki,Oloo,Saba Knoble,Knoble,70 Division Place,Campo Mourão,140.148.166.219,87300-000,Brazil,735-544-8236,354-820-9383
Toyota,Oyoyo,Hamlen Weben,Weben,2 Westport Point,Morinville,192.43.195.101,T8R,Canada,443-797-4218,819-718-9642
Isuzu,Eire,Sabra Beane,Beane,49064 Granby Park,Lagunillas,56.76.211.171,49580,Mexico,536-831-2447,761-776-3736
Lexus,Jabberstorm,Karney Marre,Marre,4690 Sage Avenue,Independencia,216.39.157.181,40053,Mexico,322-316-7621,369-646-2571
Mercedes-Benz,Quire,Cyndia Pavier,Pavier,72200 Merry Court,Ucluelet,106.47.57.23,G6E,Canada,470-384-0716,708-384-1206
Subaru,Fivebridge,Deloria Urian,Urian,73 Clarendon Lane,Greensboro,7.27.255.174,27404,United States,336-255-8816,318-554-2186
GMC,Realfire,Zena Willacot,Willacot,20 Lotheville Terrace,Fovissste,137.216.110.146,33980,Mexico,525-671-8886,107-298-7564
Chevrolet,Zooxo,Jamima Tanswill,Tanswill,07 Mandrake Park,Moosomin,153.145.130.67,H4J,Canada,149-262-0563,170-315-3916
Toyota,Jabbercube,Lindsay Leigh,Leigh,7118 Buhler Place,Chilliwack,109.50.248.111,N5L,Canada,129-560-4691,681-891-6517
BMW,Skinix,Lazarus Billingsley,Billingsley,63528 Fairfield Drive,Lexington,189.236.147.190,40596,United States,606-217-6639,643-755-5033
Buick,Ooba,Lauren Buggs,Buggs,805 Pierstorff Trail,Shawnee Mission,10.198.101.141,66286,United States,913-638-2438,774-627-5645
Honda,Yabox,Janek Alton,Alton,5294 Oak Valley Park,Oakland,176.179.183.205,94611,United States,415-595-3760,131-319-5177
Mercedes-Benz,Devbug,Matias Crudge,Crudge,59294 Heffernan Way,Tamaulipas,69.55.98.173,89060,Mexico,468-180-1022,993-888-7201
Ford,Eayo,Angus Shynn,Shynn,24377 Kings Avenue,São João del Rei,67.85.85.230,36300-000,Brazil,649-740-0050,908-828-1004
Maserati,Vipe,Kelsey Bielfelt,Bielfelt,76 Meadow Vale Way,Descalvado,223.175.150.120,13690-000,Brazil,748-896-6353,462-480-6935
Pontiac,Avamm,Annabel Rablin,Rablin,30 Bartillon Circle,Abaeté,34.19.182.88,35620-000,Brazil,305-764-1153,598-621-7550
Mazda,Jazzy,Anna-maria Gosland,Gosland,8464 Wayridge Avenue,Amarillo,202.28.98.19,79176,United States,713-458-0851,928-535-8117
Audi,Skinder,Anastasie Tregido,Tregido,28664 Meadow Vale Lane,Birmingham,42.244.14.68,B40,United Kingdom,989-515-0160,190-369-6730
Pontiac,Aibox,Ramsey Betancourt,Betancourt,1615 Hudson Place,Saint Cloud,126.63.221.9,56372,United States,320-462-1931,225-390-5108
Ford,Aimbo,Kirbee Autie,Autie,7726 Continental Place,Riachão do Jacuípe,15.74.182.115,44640-000,Brazil,706-424-8495,870-663-4854
