Suzuki	Oloo	Saba Knoble	Knoble	70 Division Place	Campo Mourão	36300-00	Brazil	735-544-8236	354-820-9383
Toyota	Oyoyo	Hamlen Weben	Weben	2 Westport Point	Morinville	T8R	Canada	443-797-4218	819-718-9642
Isuzu	Eire	Sabra Beane	Beane	49064 Granby Park	Lagunillas	49580	Mexico	536-831-2447	761-776-3736
Lexus	Jabberstorm	Karney Marre	Marre	4690 Sage Avenue	Independencia	40053	Mexico	322-316-7621	369-646-2571
Mercedes-Benz	Quire	Cyndia Pavier	Pavier	72200 Merry Court	Ucluelet	G6E	Canada	470-384-0716	708-384-1206
Subaru	Fivebridge	Deloria Urian	Urian	73 Clarendon Lane	Greensboro	27404	United States	336-255-8816	318-554-2186
GMC	Realfire	Zena Willacot	Willacot	20 Lotheville Terrace	Fovissste	33980	Mexico	525-671-8886	107-298-7564
Chevrolet	Zooxo	Jamima Tanswill	Tanswill	07 Mandrake Park	Moosomin	H4J	Canada	149-262-0563	170-315-3916
Toyote	Jabbercube	Lindsay Leigh	Leigh	7118 Buhler Place	Chilliwack	N5L	Canada	129-560-4691	681-891-6517
BMW	Skinix	Lazarus Billingsley	Billingsley	63528 Fairfield Drive	Lexington	40596	United States	606-217-6639	643-755-5033
Buick	Ooba	Lauren Buggs	Buggs	805 Pierstorff Trail	Shawnee Mission	66286	United States	913-638-2438	774-627-5645
Honda	Yabox	Janek Alton	Alton	5294 Oak Valley Park	Oakland	94611	United States	415-595-3760	131-319-5177
Mercedes	Devbug	Matias Crudge	Crudge	59294 Heffernan Way	Tamaulipas	89060	Mexico	468-180-1022	993-888-7201
Ford	Eayo	Angus Shynn	Shynn	24377 Kings Avenue	São João	36300-000	Brazil	649-740-0050	908-828-1004
